prompt_idx,prompt,model_seed,gamma,amplification,step_to_watermark,match_percent,perplexity,z_score,source_file
1,Write a short story about a cat.,1,0.025,4.5,50,0.24489795918367346,10.109196662902832,13.943182906180596,prompts.txt
2,Write a short story about a prince who saves a princess from a dragon.,1,0.025,4.5,50,0.1732283464566929,11.855782508850098,10.699434199365573,prompts.txt
3,Explain the concept of photosynthesis in simple terms.,1,0.025,4.5,50,0.13385826771653545,10.25386905670166,7.857619006970998,prompts.txt
4,What are the benefits of renewable energy?,1,0.025,4.5,50,0.21428571428571427,8.099825859069824,12.002136561932716,prompts.txt
5,Describe the process of making bread from scratch.,1,0.025,4.5,50,0.2440944881889764,9.190840721130371,15.814701545675806,prompts.txt
6,Write a poem about the ocean.,1,0.025,4.5,50,0.390625,1.4419851303100586,26.49528259898354,prompts.txt
7,Explain how a computer processor works.,1,0.025,4.5,50,0.5275590551181102,2.7839086055755615,36.27577093091674,prompts.txt
8,What are the main causes of climate change?,1,0.025,4.5,50,0.17894736842105263,7.027712821960449,9.610849132757812,prompts.txt
9,Describe your ideal vacation destination.,1,0.025,4.5,50,0.31496062992125984,16.407804489135742,20.929968891986043,prompts.txt
10,Write a creative story about a robot learning to feel emotions.,1,0.025,4.5,50,0.33070866141732286,9.797933578491211,22.06669496894387,prompts.txt
11,Explain the theory of relativity in layman's terms.,1,0.025,4.5,50,0.4566929133858268,3.3190066814422607,31.16050358460651,prompts.txt
12,What are the key principles of good leadership?,1,0.025,4.5,50,0.12,22.664548873901367,3.0424349222966556,prompts.txt
13,Describe the life cycle of a butterfly.,1,0.025,4.5,50,0.11811023622047244,11.464754104614258,6.720892930013168,prompts.txt
14,Write a dialogue between two characters meeting for the first time.,1,0.025,4.5,50,0.373015873015873,4.234694480895996,25.021423462138042,prompts.txt
15,Explain the importance of biodiversity.,1,0.025,4.5,50,0.11926605504587157,10.071993827819824,6.303710638928205,prompts.txt
16,What are the pros and cons of social media?,1,0.025,4.5,50,0.19,7.345693588256836,10.56845815113575,prompts.txt
17,Describe the process of evolution by natural selection.,1,0.025,4.5,50,0.19327731092436976,8.912139892578125,11.757817957794552,prompts.txt
18,Write a story about time travel.,1,0.025,4.5,50,0.484375,5.379589080810547,33.288944803851116,prompts.txt
19,Explain how vaccines work to protect us from diseases.,1,0.025,4.5,50,0.3828125,4.38080358505249,25.92914408191124,prompts.txt
20,What are the characteristics of a healthy diet?,1,0.025,4.5,50,0.09900990099009901,5.651506423950195,4.764070700248233,prompts.txt
21,Describe the water cycle.,1,0.025,4.5,50,0.10204081632653061,12.379510879516602,4.8849666330238275,prompts.txt
22,Write a creative story about a magical library.,1,0.025,4.5,50,0.4375,6.833019256591797,29.892113701417326,prompts.txt
23,Explain the concept of artificial intelligence.,1,0.025,4.5,50,0.12598425196850394,9.463249206542969,7.289255968492083,prompts.txt
24,What are the main causes of economic inequality?,1,0.025,4.5,50,0.23622047244094488,8.593892097473145,15.246338507196892,prompts.txt
25,Describe the structure and function of DNA.,1,0.025,4.5,50,0.2755905511811024,14.321590423583984,18.088153699591466,prompts.txt
26,Write a poem about friendship.,1,0.025,4.5,50,0.40625,1.7454044818878174,27.627559633128136,prompts.txt
27,Explain how the internet works.,1,0.025,4.5,50,0.25,9.18626594543457,16.30478929168218,prompts.txt
28,What are the benefits and drawbacks of remote work?,1,0.025,4.5,50,0.5703125,2.08428955078125,39.51646849164639,prompts.txt
29,Describe the process of metamorphosis.,1,0.025,4.5,50,0.27,8.108322143554688,15.692559072898538,prompts.txt
30,Write a story about an alien visiting Earth.,1,0.025,4.5,50,0.44881889763779526,11.8142728805542,30.592140546127595,prompts.txt
31,Explain the concept of sustainable development.,1,0.025,4.5,50,0.23529411764705882,11.410003662109375,13.60363273281853,prompts.txt
32,What are the key elements of effective communication?,1,0.025,4.5,50,0.21875,3.7823948860168457,14.040235223392989,prompts.txt
33,Describe the formation of mountains.,1,0.025,4.5,50,0.234375,11.056835174560547,15.172512257537583,prompts.txt
34,Write a creative story about a detective solving a mystery.,1,0.025,4.5,50,0.6771653543307087,2.9840610027313232,47.07466866201613,prompts.txt
35,Explain how solar panels convert sunlight to electricity.,1,0.025,4.5,50,0.2549019607843137,9.493796348571777,14.872036717230515,prompts.txt
