filename,gamma,delta,steps,style_avg,consistency_avg,accuracy_avg,ethics_avg,overall_avg_score,avg_perplexity,avg_z_score,total_prompts
run_gamma=0.1_delta=0.5_steps=10_sampled_100_gpt4_eval.json,0.1,0.5,10,8.43,8.83,7.21,8.58,8.2625,10.079085619449616,1.6546098564440357,100
run_gamma=0.1_delta=0.5_steps=160_sampled_100_gpt4_eval.json,0.1,0.5,160,8.47,8.99,7.47,8.63,8.39,10.112935194969177,1.6601238640263218,100
run_gamma=0.1_delta=0.5_steps=20_sampled_100_gpt4_eval.json,0.1,0.5,20,8.42,8.87,7.32,8.55,8.29,9.989504933357239,1.6487117800787408,100
run_gamma=0.1_delta=0.5_steps=300_sampled_100_gpt4_eval.json,0.1,0.5,300,8.52,8.91,7.5,8.78,8.4275,10.112935194969177,1.6601238640263218,100
run_gamma=0.1_delta=0.5_steps=40_sampled_100_gpt4_eval.json,0.1,0.5,40,8.41,8.97,7.56,8.63,8.3925,10.112935194969177,1.6601238640263218,100
run_gamma=0.1_delta=0.5_steps=5_sampled_100_gpt4_eval.json,0.1,0.5,5,8.4,8.87,7.16,8.54,8.2425,10.168114688396454,1.6578382947109673,100
run_gamma=0.1_delta=0.5_steps=80_sampled_100_gpt4_eval.json,0.1,0.5,80,8.46,8.93,7.37,8.77,8.3825,10.112935194969177,1.6601238640263218,100
run_gamma=0.1_delta=1_steps=10_sampled_100_gpt4_eval.json,0.1,1.0,10,8.42,8.9,7.29,8.52,8.2825,9.574819459915162,1.7797206539205381,100
run_gamma=0.1_delta=1_steps=160_sampled_100_gpt4_eval.json,0.1,1.0,160,8.57,9.02,7.37,8.6,8.39,10.558172695636749,1.7839571777801504,100
run_gamma=0.1_delta=1_steps=20_sampled_100_gpt4_eval.json,0.1,1.0,20,8.48,8.89,7.28,8.45,8.275,10.159821197986602,1.7566525986407087,100
run_gamma=0.1_delta=1_steps=300_sampled_100_gpt4_eval.json,0.1,1.0,300,8.55,8.9,7.51,8.58,8.385,10.558172695636749,1.7839571777801504,100
run_gamma=0.1_delta=1_steps=40_sampled_100_gpt4_eval.json,0.1,1.0,40,8.59,9.07,7.34,8.56,8.39,10.558172695636749,1.7839571777801504,100
run_gamma=0.1_delta=1_steps=5_sampled_100_gpt4_eval.json,0.1,1.0,5,8.48,8.87,7.32,8.46,8.2825,9.85768566608429,1.7446515591026759,100
run_gamma=0.1_delta=1_steps=80_sampled_100_gpt4_eval.json,0.1,1.0,80,8.54,9.01,7.38,8.54,8.3675,10.558172695636749,1.7839571777801504,100
run_gamma=0.1_delta=2_steps=10_sampled_100_gpt4_eval.json,0.1,2.0,10,8.5,9.06,7.28,8.47,8.3275,10.192431895732879,1.8118633392100523,100
run_gamma=0.1_delta=2_steps=160_sampled_100_gpt4_eval.json,0.1,2.0,160,8.51,9.02,7.37,8.34,8.31,10.479607744216919,2.2705067729002186,100
run_gamma=0.1_delta=2_steps=20_sampled_100_gpt4_eval.json,0.1,2.0,20,8.49,8.95,7.48,8.69,8.4025,10.292628750801086,1.9511952963968042,100
run_gamma=0.1_delta=2_steps=300_sampled_100_gpt4_eval.json,0.1,2.0,300,8.55,9.06,7.31,8.41,8.3325,10.479607744216919,2.2705067729002186,100
run_gamma=0.1_delta=2_steps=40_sampled_100_gpt4_eval.json,0.1,2.0,40,8.45,8.94,7.33,8.28,8.25,10.479607744216919,2.2705067729002186,100
run_gamma=0.1_delta=2_steps=5_sampled_100_gpt4_eval.json,0.1,2.0,5,8.47,9.03,7.31,8.59,8.35,10.13940021276474,1.7790000462248912,100
run_gamma=0.1_delta=2_steps=80_sampled_100_gpt4_eval.json,0.1,2.0,80,8.54,8.94,7.26,8.31,8.2625,10.479607744216919,2.2705067729002186,100
run_gamma=0.1_delta=4_steps=10_sampled_100_gpt4_eval.json,0.1,4.0,10,8.54,8.99,7.58,8.86,8.4925,10.37699111700058,2.3389581512369872,100
run_gamma=0.1_delta=4_steps=160_sampled_100_gpt4_eval.json,0.1,4.0,160,8.45,8.81,7.11,8.33,8.175,11.378065700531005,6.265813138126617,100
run_gamma=0.1_delta=4_steps=20_sampled_100_gpt4_eval.json,0.1,4.0,20,8.62,9.07,7.49,8.69,8.4675,11.15806016921997,3.819938234749774,100
run_gamma=0.1_delta=4_steps=300_sampled_100_gpt4_eval.json,0.1,4.0,300,8.47,8.89,7.15,8.3,8.2025,11.378065700531005,6.265813138126617,100
run_gamma=0.1_delta=4_steps=40_sampled_100_gpt4_eval.json,0.1,4.0,40,8.4,8.73,7.15,8.42,8.175,11.378065700531005,6.265813138126617,100
run_gamma=0.1_delta=4_steps=5_sampled_100_gpt4_eval.json,0.1,4.0,5,8.6,9.13,7.53,8.91,8.5425,9.73997954249382,1.9076930388361453,100
run_gamma=0.1_delta=4_steps=80_sampled_100_gpt4_eval.json,0.1,4.0,80,8.48,8.91,7.17,8.25,8.2025,11.378065700531005,6.265813138126617,100
run_gamma=0.1_delta=8_steps=10_sampled_100_gpt4_eval.json,0.1,8.0,10,8.71,9.18,7.6,8.8,8.5725,10.679461324214936,5.845043937205702,100
run_gamma=0.1_delta=8_steps=160_sampled_100_gpt4_eval.json,0.1,8.0,160,4.75,4.31,4.13,6.41,4.9,9.562006068229675,29.96503239738965,100
