prompt_idx,prompt,model_seed,gamma,amplification,step_to_watermark,match_percent,perplexity,z_score,source_file
1,Write a short story about a cat.,1,0.025,100,1,0.047244094488188976,9.56772232055664,1.6056255837029345,prompts.txt
2,Write a short story about a prince who saves a princess from a dragon.,1,0.025,100,1,0.05511811023622047,9.000472068786621,2.173988622181849,prompts.txt
3,Explain the concept of photosynthesis in simple terms.,1,0.025,100,1,0.06837606837606838,10.190848350524902,3.005182170397282,prompts.txt
4,What are the benefits of renewable energy?,1,0.025,100,1,0.07894736842105263,31.997865676879883,2.1300497672111374,prompts.txt
5,Describe the process of making bread from scratch.,1,0.025,100,1,0.07086614173228346,6.870574951171875,3.310714699139679,prompts.txt
6,Write a poem about the ocean.,1,0.025,100,1,0.03125,27.175575256347656,0.4529108136578382,prompts.txt
7,Explain how a computer processor works.,1,0.025,100,1,0.0390625,8.194714546203613,1.019049330730136,prompts.txt
8,What are the main causes of climate change?,1,0.025,100,1,0.06666666666666667,5.966585636138916,2.311250817605121,prompts.txt
9,Describe your ideal vacation destination.,1,0.025,100,1,0.045454545454545456,13.122673988342285,1.3740858372430333,prompts.txt
10,Write a creative story about a robot learning to feel emotions.,1,0.025,100,1,0.0380952380952381,11.45317268371582,0.8594799233872417,prompts.txt
11,Explain the theory of relativity in layman's terms.,1,0.025,100,1,0.03125,9.405157089233398,0.4529108136578382,prompts.txt
12,What are the key principles of good leadership?,1,0.025,100,1,0.04,74.01744079589844,0.48038446141526137,prompts.txt
13,Describe the life cycle of a butterfly.,1,0.025,100,1,0.07086614173228346,9.633563995361328,3.310714699139679,prompts.txt
14,Write a dialogue between two characters meeting for the first time.,1,0.025,100,1,0.06666666666666667,7.354880332946777,2.7347088471412233,prompts.txt
15,Explain the importance of biodiversity.,1,0.025,100,1,0.045871559633027525,11.349736213684082,1.3957120879378748,prompts.txt
16,What are the pros and cons of social media?,1,0.025,100,1,0.03225806451612903,18.26133155822754,0.448321933248046,prompts.txt
17,Describe the process of evolution by natural selection.,1,0.025,100,1,0.0546875,12.046398162841797,2.151326364874732,prompts.txt
18,Write a story about time travel.,1,0.025,100,1,0.07086614173228346,9.88509464263916,3.310714699139679,prompts.txt
19,Explain how vaccines work to protect us from diseases.,1,0.025,100,1,0.046875,12.615220069885254,1.585187847802434,prompts.txt
20,What are the characteristics of a healthy diet?,1,0.025,100,1,0.03937007874015748,7.569851875305176,1.0372625452240196,prompts.txt
21,Describe the water cycle.,1,0.025,100,1,0.05511811023622047,9.703639030456543,2.173988622181849,prompts.txt
22,Write a creative story about a magical library.,1,0.025,100,1,0.03389830508474576,12.899170875549316,0.6191216388163044,prompts.txt
23,Explain the concept of artificial intelligence.,1,0.025,100,1,0.038834951456310676,9.827342987060547,0.8993400617545201,prompts.txt
24,What are the main causes of economic inequality?,1,0.025,100,1,0.046875,11.614322662353516,1.585187847802434,prompts.txt
25,Describe the structure and function of DNA.,1,0.025,100,1,0.05555555555555555,10.4331636428833,2.0339007194925065,prompts.txt
26,Write a poem about friendship.,1,0.025,100,1,0.047244094488188976,32.24055480957031,1.6056255837029345,prompts.txt
27,Explain how the internet works.,1,0.025,100,1,0.046296296296296294,8.465154647827148,1.4175671681311408,prompts.txt
28,What are the benefits and drawbacks of remote work?,1,0.025,100,1,0.0390625,9.800982475280762,1.019049330730136,prompts.txt
29,Describe the process of metamorphosis.,1,0.025,100,1,0.09615384615384616,7.138954162597656,4.647749768357825,prompts.txt
30,Write a story about an alien visiting Earth.,1,0.025,100,1,0.047619047619047616,10.200550079345703,1.4845562313052354,prompts.txt
31,Explain the concept of sustainable development.,1,0.025,100,1,0.05511811023622047,8.119017601013184,2.173988622181849,prompts.txt
32,What are the key elements of effective communication?,1,0.025,100,1,0.046875,9.84977912902832,1.585187847802434,prompts.txt
33,Describe the formation of mountains.,1,0.025,100,1,0.06976744186046512,26.068273544311523,2.659127685483387,prompts.txt
34,Write a creative story about a detective solving a mystery.,1,0.025,100,1,0.046875,7.408712863922119,1.585187847802434,prompts.txt
35,Explain how solar panels convert sunlight to electricity.,1,0.025,100,1,0.056074766355140186,6.750378131866455,2.0588629984516893,prompts.txt
36,What are the main factors that influence climate?,1,0.025,100,1,0.05555555555555555,67.03590393066406,0.830336491706037,prompts.txt
37,Describe the human digestive system.,1,0.025,100,1,0.04716981132075472,10.650293350219727,1.4619839923887563,prompts.txt
38,Write a story about a character overcoming their fears.,1,0.025,100,1,0.047244094488188976,11.58719253540039,1.6056255837029345,prompts.txt
39,Explain the concept of supply and demand in economics.,1,0.025,100,1,0.08571428571428572,6.6198930740356445,3.984861462977211,prompts.txt
40,What are the benefits of exercise for mental health?,1,0.025,100,1,0.058823529411764705,10.090349197387695,1.9973587385891403,prompts.txt
41,Describe the process of photosynthesis in detail.,1,0.025,100,1,0.03937007874015748,8.929105758666992,1.0372625452240196,prompts.txt
42,Write a poem about the changing seasons.,1,0.025,100,1,0.07017543859649122,28.656944274902344,3.0894593919054865,prompts.txt
43,Explain how the human brain processes information.,1,0.025,100,1,0.08490566037735849,6.458333492279053,3.950467383688767,prompts.txt
44,What are the main challenges facing renewable energy adoption?,1,0.025,100,1,0.0546875,8.625985145568848,2.151326364874732,prompts.txt
45,Describe the life cycle of a star.,1,0.025,100,1,0.06140350877192982,12.618083953857422,2.4895643643510232,prompts.txt
46,Write a story about a character discovering a hidden talent.,1,0.025,100,1,0.0546875,11.885213851928711,2.151326364874732,prompts.txt
47,Explain the concept of democracy and its principles.,1,0.025,100,1,0.058823529411764705,6.668949604034424,2.1879968731106727,prompts.txt
48,What are the environmental impacts of plastic pollution?,1,0.025,100,1,0.046875,11.777544021606445,1.585187847802434,prompts.txt
49,Describe the process of cellular respiration.,1,0.025,100,1,0.04716981132075472,8.504719734191895,1.4619839923887563,prompts.txt
50,Write a creative story about a parallel universe.,1,0.025,100,1,0.046875,8.242317199707031,1.585187847802434,prompts.txt
51,Explain how antibiotics work to fight bacterial infections.,1,0.025,100,1,0.044642857142857144,9.53670883178711,1.3315005718713653,prompts.txt
52,What are the key factors that contribute to happiness?,1,0.025,100,1,0.14285714285714285,11.599796295166016,1.997250857807048,prompts.txt
53,Describe the structure of an atom.,1,0.025,100,1,0.05660377358490566,9.897324562072754,2.084104840213759,prompts.txt
54,Write a story about a character learning a valuable life lesson.,1,0.025,100,1,0.031496062992125984,8.617719650268555,0.4688995067451046,prompts.txt
55,Explain the concept of renewable vs non-renewable resources.,1,0.025,100,1,0.0392156862745098,8.609655380249023,0.9195928886986884,prompts.txt
56,What are the main causes of deforestation?,1,0.025,100,1,0.058823529411764705,82.0785903930664,0.8932459829877099,prompts.txt
57,Describe the process of protein synthesis.,1,0.025,100,1,0.061946902654867256,13.011646270751953,2.5156194615330696,prompts.txt
58,Write a poem about hope and resilience.,1,0.025,100,1,0.03937007874015748,25.333786010742188,1.0372625452240196,prompts.txt
59,Explain how the immune system protects the body.,1,0.025,100,1,0.03125,8.57945728302002,0.4529108136578382,prompts.txt
60,What are the benefits of learning a second language?,1,0.025,100,1,0.06382978723404255,30.62200355529785,1.7050677009147388,prompts.txt
61,Describe the formation of clouds and precipitation.,1,0.025,100,1,0.03773584905660377,7.7558369636535645,0.8398631445637535,prompts.txt
62,Write a story about a character finding their true purpose.,1,0.025,100,1,0.03937007874015748,8.828455924987793,1.0372625452240196,prompts.txt
63,Explain the concept of quantum mechanics in simple terms.,1,0.025,100,1,0.047244094488188976,9.36816120147705,1.6056255837029345,prompts.txt
64,What are the benefits of meditation for health?,1,0.025,100,1,0.047619047619047616,7.3293137550354,1.4845562313052354,prompts.txt
65,Describe the process of photosynthesis using light and chlorophyll.,1,0.025,100,1,0.0625,8.117752075195312,2.7174648819470297,prompts.txt
